iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TD	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	30	15	25	0.5	3	825	0.8667	0.7507	-2.9432	0.3552	-0.1327
0	30	15	25	0.7	3	811	0.6667	0.6903	-2.327	0.372	-0.114
0	30	20	10	0.3	3	532	0.8667	0.6933	-2.365	0.418	-0.1016
0	30	20	10	0.5	3	148	1.0	0.7731	-3.0588	0.4344	-0.0838
0	30	20	10	0.7	58	5750	0.75	0.6785	-5.1224	0.4391	-0.1076
0	30	20	15	0.3	54	5895	0.7574	0.6862	error	error	error
0	30	20	15	0.5	57	6029	0.7509	0.6798	-5.0237	0.4887	-0.0839
0	30	20	15	0.7	53	6033	0.7491	0.6894	-4.7985	0.4536	-0.0973
0	30	20	20	0.3	3	745	0.7333	0.7684	-2.481	0.4217	-0.1
0	30	20	20	0.5	38	5849	0.8711	0.6778	-4.4047	0.5153	-0.0563
0	30	20	20	0.7	43	6293	0.7698	0.6876	-4.5082	0.4602	-0.0835
0	30	20	25	0.3	3	943	0.6	0.7576	-2.4907	0.383	-0.1054
0	30	20	25	0.5	37	6061	0.7784	0.6841	-4.1338	0.5336	-0.0455
0	30	20	25	0.7	3	480	0.7333	0.7721	-2.6161	0.3648	-0.1235
0	50	5	10	0.3	3	121	0.8	0.6557	-6.3026	0.387	-0.0994
0	50	5	10	0.5	58	6829	0.7948	0.685	error	error	error
0	50	5	10	0.7	3	141	1.0	0.8114	-5.5857	0.3646	-0.1374
0	50	5	15	0.3	46	6617	0.7543	0.6745	-4.2213	0.6005	-0.0218
0	50	5	15	0.5	52	6943	0.7788	0.6951	-5.133	0.4992	-0.0743
0	50	5	15	0.7	42	6299	0.7619	0.6893	-4.7138	0.4372	-0.0979
0	50	5	20	0.3	36	6636	0.8361	0.6836	-3.7184	0.624	0.0156
0	50	5	20	0.5	29	6135	0.8241	0.6936	-4.9297	0.4778	-0.08
0	50	5	20	0.7	34	6584	0.7118	0.6773	-4.1447	0.4932	-0.0664
0	50	5	25	0.3	32	6647	0.8031	0.6766	-4.0564	0.6118	0.0001
0	50	5	25	0.5	30	6307	0.83	0.6933	-4.5538	0.4945	-0.075
0	50	5	25	0.7	26	5961	0.7538	0.7029	-4.2841	0.4347	-0.0818
0	50	10	10	0.3	60	6744	0.7267	0.6838	-4.8614	0.536	-0.0542
0	50	10	10	0.5	55	6831	0.7309	0.6856	error	error	error
0	50	10	10	0.7	53	6689	0.7434	0.6794	error	error	error
0	50	10	15	0.3	49	6772	0.7694	0.681	-4.5015	0.546	-0.0361
0	50	10	15	0.5	43	6816	0.8233	0.6775	-4.9	0.4795	-0.0873
0	50	10	15	0.7	50	6794	0.766	0.69	-4.9469	0.4244	-0.1033
0	50	10	20	0.3	30	6575	0.84	0.6779	-3.8858	0.6017	-0.0128
0	50	10	20	0.5	34	6755	0.8235	0.6779	-4.6799	0.5158	-0.0417
0	50	10	20	0.7	34	6616	0.8029	0.6903	-4.6459	0.4626	-0.0812
0	50	10	25	0.3	29	6682	0.7862	0.6839	-3.4131	0.6274	0.0115
0	50	10	25	0.5	36	6878	0.8306	0.6784	-4.515	0.4953	-0.0472
0	50	10	25	0.7	29	6744	0.7586	0.6865	-4.0588	0.457	-0.07
0	50	15	10	0.3	56	6667	0.7339	0.6849	error	error	error
0	50	15	10	0.5	56	6662	0.7536	0.6884	-4.9345	0.4648	-0.092
0	50	15	10	0.7	53	6473	0.7415	0.6917	-5.0412	0.4386	-0.109
0	50	15	15	0.3	45	6476	0.8267	0.6777	-4.5111	0.5504	-0.0324
0	50	15	15	0.5	50	6877	0.758	0.6753	error	error	error
0	50	15	15	0.7	47	6837	0.7426	0.6815	-4.7795	0.4518	-0.1017
0	50	15	20	0.3	31	6692	0.8355	0.6829	-4.1973	0.5808	-0.0221
0	50	15	20	0.5	36	6972	0.8083	0.6771	-4.4702	0.4885	-0.0562
0	50	15	20	0.7	34	6716	0.8	0.6743	-4.5165	0.4393	-0.0882
0	50	15	25	0.3	23	5785	0.8435	0.6785	-3.7322	0.5948	-0.006
0	50	15	25	0.5	24	5957	0.8708	0.6902	-3.5677	0.5364	-0.0527
0	50	15	25	0.7	32	6796	0.7625	0.6879	-4.294	0.4627	-0.0755
0	50	20	10	0.3	53	6837	0.783	0.6831	error	error	error
