iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	25	5	20	0.1	61	1370	0.9328	0.6851	-17.8691	0.4076	-0.3047
0	25	5	20	0.3	61	1358	0.9557	0.689	-17.9388	0.4071	-0.2991
0	25	5	20	0.5	62	1301	0.9403	0.6931	-18.4127	0.4339	-0.3225
0	25	5	20	0.7	60	1361	0.93	0.6953	-18.3465	0.4265	-0.3253
0	25	5	8	0.1	98	1443	0.8622	0.688	error	error	error
0	25	5	8	0.3	99	1421	0.8677	0.6838	error	error	error
0	25	5	8	0.5	98	1370	0.8847	0.6832	error	error	error
0	25	5	8	0.7	97	1326	0.8938	0.6965	error	error	error
0	25	10	20	0.1	61	1450	0.9279	0.6977	-17.8073	0.4099	-0.3022
0	25	10	20	0.3	64	1346	0.9188	0.6896	-17.9205	0.4091	-0.3047
0	25	10	20	0.5	61	1480	0.9311	0.6832	-18.2316	0.4283	-0.3098
0	25	10	20	0.7	63	1533	0.9333	0.6823	-18.2012	0.4294	-0.3215
0	25	10	8	0.1	102	1432	0.852	0.6916	error	error	error
0	25	10	8	0.3	94	1529	0.8638	0.6923	error	error	error
0	25	10	8	0.5	97	1431	0.8825	0.6887	error	error	error
0	25	10	8	0.7	106	1445	0.8717	0.6802	error	error	error
0	25	15	20	0.1	60	1385	0.9367	0.6922	-17.7807	0.4043	-0.3014
0	25	15	20	0.3	58	1248	0.9293	0.6917	-18.1382	0.4188	-0.3154
0	25	15	20	0.5	60	1447	0.9467	0.6883	-18.3853	0.4327	-0.3219
0	25	15	20	0.7	56	1377	0.9304	0.6831	-18.411	0.4468	-0.3309
0	25	15	8	0.1	103	1482	0.835	0.6887	error	error	error
0	25	15	8	0.3	104	1443	0.8615	0.6983	error	error	error
0	25	15	8	0.5	104	1379	0.8625	0.7021	error	error	error
0	25	15	8	0.7	102	1470	0.8706	0.6894	error	error	error
0	25	5	8	0.1	100	1409	0.861	0.6858	error	error	error
0	25	10	8	0.1	99	1480	0.8242	0.691	error	error	error
0	25	15	8	0.1	100	1435	0.859	0.6946	error	error	error
0	25	20	8	0.1	105	1563	0.8324	0.6919	error	error	error
